Time;Bezirk;GKZ;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
29.02.2020 00:00:00;Klagenfurt Stadt;201;101300;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Villach Stadt;202;62882;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Hermagor;203;18054;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Klagenfurt Land;204;60014;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Sankt Veit an der Glan;205;54186;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Spittal an der Drau;206;75868;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Villach Land;207;64618;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Völkermarkt;208;41862;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Wolfsberg;209;52607;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Feldkirchen;210;29902;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Krems an der Donau(Stadt);301;25036;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Sankt Pölten(Stadt);302;55514;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Waidhofen an der Ybbs(Stadt);303;11222;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Wiener Neustadt(Stadt);304;45823;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Amstetten;305;116520;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Baden;306;146751;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Bruck an der Leitha;307;103735;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Gänserndorf;308;104782;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Gmünd;309;36553;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Hollabrunn;310;51033;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Horn;311;30936;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Korneuburg;312;91254;0;2;2;2,191685;0;0;0;0
29.02.2020 00:00:00;Krems(Land);313;56487;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Lilienfeld;314;25655;0;0;0;0;0;0;0;0
